vehicle_name,vehicle_type,track_type,average_speed,fuel_consumption,total_steering,total_throttle,total_brake,velocity,lap time,mass,drag_coefficient,center_of_mass_x,center_of_mass_z,max_rpm,clutch_strength,gear_switch_time,front_left_wheel_radius,front_left_wheel_max_brake_torque,front_left_wheel_lat_stiff_max_load,front_left_wheel_lat_stiff_value,front_left_wheel_long_stiff_value,rear_right_wheel_radius,rear_right_wheel_max_brake_torque,rear_right_wheel_max_handbrake_torque,rear_right_wheel_lat_stiff_max_load,rear_right_wheel_lat_stiff_value,rear_right_wheel_long_stiff_value
vehicle.volkswagen.t2_2021,Van,hard,17.57171017,0.017039668,250.6103142,138.9189165,37.54671679,3.501859818,89.29457466,1105,0.300000012,0.599999964,-0.699999988,4500,10,0.100000001,33.5,400,2,17,1000,33.5,400,800,2,17,1000
vehicle.mini.cooper_s_2021,Car,hard,18.74154364,-0.002528723,228.023755,36.62898658,21.68175514,3.637837652,75.4801969,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.yamaha.yzf,Motorcycle,hard,18.00710524,-0.001147308,216.0937786,137.0508893,18.863317,3.361349314,92.71262458,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.yamaha.yzf,Motorcycle,hard,17.84031283,0.013894585,354.6359997,143.8832931,4.304652745,4.669455913,63.3822583,140,0.300000012,0.049999997,-0.399999976,9000,0.600000024,0.5,31,1500,2,17,1000,31,1500,3000,2,17,1000
vehicle.kawasaki.ninja,Motorcycle,hard,17.58695602,0.018031796,292.5478947,130.6138209,1.010766963,4.493952275,45.44664055,166,0.300000012,0.199999988,-0.399999976,10000,0.600000024,0.5,32,1500,2,17,1000,32,1500,3000,2,17,1000
vehicle.harley-davidson.low_rider,Motorcycle,hard,18.69401226,0.015539336,323.1014024,175.243426,25.54631703,4.921538635,43.59214694,286,0.300000012,0.149999991,-0.25,5000,0.600000024,0.5,35,1500,2,17,1000,35.5,1500,3000,2,17,1000
vehicle.ford.ambulance,Van,hard,18.39571738,0.011845217,491.3257821,101.7274338,12.20059358,4.962185969,65.25283087,1579,0.300000012,0.199999988,-0.899999976,6500,10,0.100000001,35,800,2,17,1000,35,800,1600,2,17,1000
vehicle.dodge.charger_2020,Car,hard,18.0739569,0.018879721,302.343417,69.21183064,17.21393254,6.411234468,55.52969622,1920,0.300000012,0.099999994,-0.199999988,8000,10,0.100000001,35,1000,3,20,3000,35,1000,2000,3,20,3000
vehicle.mini.cooper_s_2021,Car,hard,18.57221178,0.016865678,350.1942211,102.8196464,5.806762725,5.315628575,48.64607209,1130,0.300000012,0.599999964,-0.5,6500,10,0.100000001,37.5,500,1,17,3000,37.5,500,1000,1,17,3000
vehicle.mercedes.sprinter,Van,hard,18.63312431,0.021695041,385.6934206,115.5781486,15.58336526,3.038045225,60.95869501,3000,0.5,0.599999964,-0.799999952,5000,10,0.100000001,35,1500,5,20,3000,35,1500,3000,5,20,3000
